Generated by myTrafficdata,,,
SDR: Lochowicejezior,,27 lut 26 10:07:02,
26 lut 26 13:16:27,1,4.2 m,44 km/h
26 lut 26 13:17:23,1,4.0 m,47 km/h
26 lut 26 13:18:06,1,4.2 m,54 km/h
26 lut 26 13:18:34,2,4.8 m,42 km/h
26 lut 26 13:18:50,1,4.1 m,41 km/h
26 lut 26 13:21:28,1,3.7 m,54 km/h
26 lut 26 13:21:30,1,3.7 m,63 km/h
26 lut 26 13:22:22,2,5.2 m,75 km/h
26 lut 26 13:23:13,1,7.4 m,49 km/h
26 lut 26 13:23:31,2,4.0 m,43 km/h
26 lut 26 13:24:47,2,4.1 m,47 km/h
26 lut 26 13:25:12,2,4.9 m,64 km/h
26 lut 26 13:25:38,2,4.8 m,48 km/h
26 lut 26 13:25:55,2,6.6 m,51 km/h
26 lut 26 13:26:20,1,4.7 m,24 km/h
26 lut 26 13:26:54,2,4.3 m,50 km/h
26 lut 26 13:27:20,1,7.1 m,62 km/h
26 lut 26 13:27:27,1,4.5 m,43 km/h
26 lut 26 13:28:01,2,3.6 m,65 km/h
26 lut 26 13:28:06,2,4.2 m,40 km/h
26 lut 26 13:28:32,1,4.3 m,123 km/h
26 lut 26 13:30:33,1,4.5 m,44 km/h
26 lut 26 13:30:56,1,21.6 m,56 km/h
26 lut 26 13:31:28,2,3.8 m,56 km/h
26 lut 26 13:32:03,1,5.3 m,59 km/h
26 lut 26 13:32:11,1,5.8 m,54 km/h
26 lut 26 13:33:07,2,5.9 m,56 km/h
26 lut 26 13:33:10,2,3.8 m,55 km/h
26 lut 26 13:34:12,1,4.3 m,59 km/h
26 lut 26 13:34:43,2,3.1 m,26 km/h
26 lut 26 13:35:41,2,4.3 m,39 km/h
26 lut 26 13:36:46,1,4.1 m,61 km/h
26 lut 26 13:36:49,1,7.0 m,57 km/h
26 lut 26 13:37:03,2,3.9 m,53 km/h
26 lut 26 13:38:27,1,4.1 m,69 km/h
26 lut 26 13:38:33,1,4.7 m,55 km/h
26 lut 26 13:39:09,1,4.6 m,46 km/h
26 lut 26 13:39:54,2,5.3 m,15 km/h
26 lut 26 13:40:17,2,3.9 m,36 km/h
26 lut 26 13:40:21,2,4.7 m,61 km/h
26 lut 26 13:40:53,1,4.5 m,57 km/h
26 lut 26 13:42:11,1,4.3 m,24 km/h
26 lut 26 13:42:39,2,4.5 m,50 km/h
26 lut 26 13:43:11,2,4.1 m,48 km/h
26 lut 26 13:43:13,2,4.3 m,54 km/h
26 lut 26 13:43:14,2,4.6 m,55 km/h
26 lut 26 13:43:53,1,8.1 m,53 km/h
26 lut 26 13:44:24,1,4.0 m,71 km/h
26 lut 26 13:44:31,2,4.7 m,35 km/h
26 lut 26 13:44:34,2,4.9 m,43 km/h
26 lut 26 13:45:15,2,4.2 m,37 km/h
26 lut 26 13:45:49,1,4.0 m,56 km/h
26 lut 26 13:46:36,1,5.1 m,60 km/h
26 lut 26 13:46:37,1,4.7 m,54 km/h
26 lut 26 13:50:24,2,12.6 m,36 km/h
26 lut 26 13:52:25,2,4.6 m,51 km/h
26 lut 26 13:52:40,2,4.0 m,46 km/h
26 lut 26 13:52:50,1,22.0 m,56 km/h
26 lut 26 13:53:15,1,5.1 m,25 km/h
26 lut 26 13:54:13,2,4.3 m,53 km/h
26 lut 26 13:54:17,2,3.9 m,53 km/h
26 lut 26 13:55:03,1,4.6 m,34 km/h
26 lut 26 13:56:23,1,11.1 m,20 km/h
26 lut 26 13:56:30,2,4.5 m,24 km/h
26 lut 26 13:56:51,2,3.7 m,89 km/h
26 lut 26 13:57:36,1,4.9 m,52 km/h
26 lut 26 13:59:26,1,19.6 m,69 km/h
26 lut 26 14:00:04,2,5.9 m,50 km/h
26 lut 26 14:02:49,2,4.2 m,19 km/h
26 lut 26 14:02:50,1,3.7 m,58 km/h
26 lut 26 14:04:52,2,4.5 m,68 km/h
26 lut 26 14:05:39,2,5.4 m,45 km/h
26 lut 26 14:05:58,1,4.4 m,60 km/h
26 lut 26 14:06:01,1,4.0 m,56 km/h
26 lut 26 14:06:04,1,5.0 m,58 km/h
26 lut 26 14:07:24,1,4.0 m,54 km/h
26 lut 26 14:07:37,2,6.8 m,27 km/h
26 lut 26 14:08:20,2,4.5 m,60 km/h
26 lut 26 14:08:22,2,6.2 m,58 km/h
26 lut 26 14:08:44,2,3.9 m,41 km/h
26 lut 26 14:09:45,1,3.7 m,52 km/h
26 lut 26 14:10:00,2,4.8 m,54 km/h
26 lut 26 14:10:01,1,4.4 m,52 km/h
26 lut 26 14:10:01,2,4.3 m,58 km/h
26 lut 26 14:11:07,1,5.3 m,23 km/h
26 lut 26 14:11:40,2,3.5 m,27 km/h
26 lut 26 14:12:29,2,7.1 m,55 km/h
26 lut 26 14:12:52,1,4.1 m,59 km/h
26 lut 26 14:14:10,2,4.6 m,54 km/h
26 lut 26 14:14:22,2,6.7 m,36 km/h
26 lut 26 14:15:00,1,4.3 m,93 km/h
26 lut 26 14:15:56,2,3.8 m,24 km/h
26 lut 26 14:16:03,1,5.5 m,51 km/h
26 lut 26 14:16:31,2,19.2 m,20 km/h
26 lut 26 14:16:34,2,4.4 m,31 km/h
26 lut 26 14:16:42,2,6.2 m,53 km/h
26 lut 26 14:16:45,2,4.9 m,53 km/h
26 lut 26 14:17:10,1,6.3 m,48 km/h
26 lut 26 14:17:33,2,4.3 m,57 km/h
26 lut 26 14:17:37,1,3.5 m,64 km/h
26 lut 26 14:18:48,1,4.6 m,88 km/h
26 lut 26 14:19:55,2,4.5 m,52 km/h
26 lut 26 14:20:09,1,4.7 m,28 km/h
26 lut 26 14:20:09,2,4.3 m,62 km/h
26 lut 26 14:23:24,2,4.7 m,53 km/h
26 lut 26 14:23:52,2,4.3 m,58 km/h
26 lut 26 14:23:58,1,2.5 m,47 km/h
26 lut 26 14:24:14,2,4.3 m,58 km/h
26 lut 26 14:25:21,2,3.7 m,47 km/h
26 lut 26 14:25:48,1,4.4 m,54 km/h
26 lut 26 14:26:02,1,4.5 m,47 km/h
26 lut 26 14:27:07,2,4.8 m,41 km/h
26 lut 26 14:28:13,2,4.0 m,52 km/h
26 lut 26 14:28:18,2,5.1 m,52 km/h
26 lut 26 14:28:55,1,5.5 m,57 km/h
26 lut 26 14:29:20,2,3.7 m,49 km/h
26 lut 26 14:29:37,1,4.1 m,55 km/h
26 lut 26 14:29:50,1,7.6 m,28 km/h
26 lut 26 14:29:55,1,4.7 m,55 km/h
26 lut 26 14:30:10,2,3.6 m,53 km/h
26 lut 26 14:30:13,2,3.6 m,59 km/h
26 lut 26 14:30:16,2,4.0 m,51 km/h
26 lut 26 14:30:38,1,3.7 m,58 km/h
26 lut 26 14:32:05,2,5.1 m,55 km/h
26 lut 26 14:32:33,1,4.4 m,36 km/h
26 lut 26 14:32:41,2,6.0 m,42 km/h
26 lut 26 14:34:35,1,4.0 m,80 km/h
26 lut 26 14:35:35,1,3.9 m,57 km/h
26 lut 26 14:35:39,2,5.0 m,36 km/h
26 lut 26 14:35:48,2,4.3 m,32 km/h
26 lut 26 14:36:30,1,4.3 m,61 km/h
26 lut 26 14:36:47,1,4.4 m,34 km/h
26 lut 26 14:37:21,1,4.3 m,53 km/h
26 lut 26 14:37:27,1,3.9 m,53 km/h
26 lut 26 14:37:29,1,4.7 m,61 km/h
26 lut 26 14:40:04,1,4.3 m,58 km/h
26 lut 26 14:40:06,1,3.5 m,56 km/h
26 lut 26 14:41:57,1,5.5 m,79 km/h
26 lut 26 14:42:32,2,5.1 m,59 km/h
26 lut 26 14:42:48,2,5.7 m,50 km/h
26 lut 26 14:43:17,2,5.1 m,56 km/h
26 lut 26 14:43:36,1,4.3 m,41 km/h
26 lut 26 14:44:02,2,4.4 m,61 km/h
26 lut 26 14:44:55,2,3.4 m,27 km/h
26 lut 26 14:44:58,1,4.2 m,21 km/h
26 lut 26 14:46:01,2,3.6 m,17 km/h
26 lut 26 14:46:04,1,4.1 m,31 km/h
26 lut 26 14:46:06,1,3.6 m,36 km/h
26 lut 26 14:49:05,2,5.8 m,60 km/h
26 lut 26 14:49:37,1,17.8 m,26 km/h
26 lut 26 14:50:33,1,4.2 m,58 km/h
26 lut 26 14:51:23,1,5.1 m,59 km/h
26 lut 26 14:52:19,2,4.9 m,55 km/h
26 lut 26 14:53:25,2,5.0 m,48 km/h
26 lut 26 14:53:38,2,4.9 m,29 km/h
26 lut 26 14:53:41,2,9.5 m,30 km/h
26 lut 26 14:53:55,1,3.9 m,59 km/h
26 lut 26 14:54:10,1,3.5 m,65 km/h
26 lut 26 14:55:07,1,4.4 m,57 km/h
26 lut 26 14:55:25,2,3.5 m,22 km/h
26 lut 26 14:55:47,1,4.2 m,65 km/h
26 lut 26 14:55:51,1,4.5 m,62 km/h
26 lut 26 14:56:12,1,3.8 m,53 km/h
26 lut 26 14:57:07,1,4.2 m,60 km/h
26 lut 26 14:57:34,2,3.7 m,21 km/h
26 lut 26 14:58:02,2,6.2 m,50 km/h
26 lut 26 14:59:26,2,3.7 m,50 km/h
26 lut 26 14:59:43,1,3.6 m,98 km/h
26 lut 26 14:59:58,1,4.3 m,51 km/h
26 lut 26 14:59:59,1,4.1 m,53 km/h
26 lut 26 15:00:00,1,4.6 m,60 km/h
26 lut 26 15:00:56,1,4.3 m,63 km/h
26 lut 26 15:01:21,2,3.9 m,52 km/h
26 lut 26 15:01:21,1,4.1 m,45 km/h
26 lut 26 15:01:29,2,4.4 m,101 km/h
26 lut 26 15:01:54,2,6.6 m,54 km/h
26 lut 26 15:03:09,2,3.3 m,59 km/h
26 lut 26 15:03:41,2,4.6 m,44 km/h
26 lut 26 15:04:09,1,4.5 m,81 km/h
26 lut 26 15:04:26,2,4.6 m,49 km/h
26 lut 26 15:04:28,2,4.2 m,45 km/h
26 lut 26 15:04:56,1,19.4 m,61 km/h
26 lut 26 15:05:10,2,3.5 m,55 km/h
26 lut 26 15:05:12,2,4.4 m,55 km/h
26 lut 26 15:06:25,1,3.9 m,55 km/h
26 lut 26 15:06:28,1,4.8 m,51 km/h
26 lut 26 15:06:30,1,4.6 m,56 km/h
26 lut 26 15:07:30,2,4.4 m,54 km/h
26 lut 26 15:07:32,1,4.2 m,64 km/h
26 lut 26 15:07:48,2,4.1 m,48 km/h
26 lut 26 15:08:18,2,4.6 m,57 km/h
26 lut 26 15:09:24,1,5.2 m,54 km/h
26 lut 26 15:09:25,1,4.5 m,55 km/h
26 lut 26 15:09:30,1,4.7 m,49 km/h
26 lut 26 15:09:52,2,4.4 m,46 km/h
26 lut 26 15:10:32,1,5.6 m,60 km/h
26 lut 26 15:10:45,2,4.4 m,54 km/h
26 lut 26 15:11:43,2,4.4 m,50 km/h
26 lut 26 15:12:12,2,4.4 m,51 km/h
26 lut 26 15:12:27,1,4.4 m,60 km/h
26 lut 26 15:12:37,2,3.7 m,60 km/h
26 lut 26 15:12:39,2,3.9 m,58 km/h
26 lut 26 15:13:37,2,4.4 m,42 km/h
26 lut 26 15:13:39,2,4.4 m,44 km/h
26 lut 26 15:13:40,1,3.9 m,53 km/h
26 lut 26 15:14:54,1,4.4 m,59 km/h
26 lut 26 15:15:31,2,4.0 m,42 km/h
26 lut 26 15:15:33,2,5.0 m,45 km/h
26 lut 26 15:16:20,2,4.4 m,54 km/h
26 lut 26 15:16:22,2,3.5 m,53 km/h
26 lut 26 15:16:24,2,4.2 m,51 km/h
26 lut 26 15:16:30,1,4.7 m,53 km/h
26 lut 26 15:17:53,2,4.0 m,120 km/h
26 lut 26 15:17:54,2,4.7 m,141 km/h
26 lut 26 15:18:34,1,4.6 m,56 km/h
26 lut 26 15:18:42,2,4.4 m,50 km/h
26 lut 26 15:19:24,1,4.1 m,61 km/h
26 lut 26 15:20:16,2,1.9 m,20 km/h
26 lut 26 15:20:28,2,4.1 m,86 km/h
26 lut 26 15:20:37,1,4.5 m,25 km/h
26 lut 26 15:20:57,2,3.0 m,20 km/h
26 lut 26 15:20:59,2,3.8 m,26 km/h
26 lut 26 15:21:39,1,4.6 m,70 km/h
26 lut 26 15:22:22,1,4.0 m,59 km/h
26 lut 26 15:22:32,1,5.6 m,58 km/h
26 lut 26 15:22:41,2,4.4 m,92 km/h
26 lut 26 15:22:55,2,4.7 m,55 km/h
26 lut 26 15:23:02,1,5.1 m,54 km/h
26 lut 26 15:23:27,2,4.6 m,52 km/h
26 lut 26 15:23:35,2,2.7 m,20 km/h
26 lut 26 15:23:36,2,4.4 m,33 km/h
26 lut 26 15:23:48,2,3.4 m,27 km/h
26 lut 26 15:26:25,1,4.2 m,53 km/h
26 lut 26 15:26:35,1,3.8 m,64 km/h
26 lut 26 15:27:19,1,5.3 m,57 km/h
26 lut 26 15:27:49,2,4.1 m,23 km/h
26 lut 26 15:28:32,1,4.2 m,61 km/h
26 lut 26 15:28:48,2,4.6 m,57 km/h
26 lut 26 15:29:08,1,5.5 m,58 km/h
26 lut 26 15:29:12,2,4.6 m,66 km/h
26 lut 26 15:31:28,1,4.3 m,61 km/h
26 lut 26 15:31:50,1,4.6 m,45 km/h
26 lut 26 15:32:04,2,4.6 m,51 km/h
26 lut 26 15:32:31,1,10.3 m,72 km/h
26 lut 26 15:32:41,2,11.0 m,36 km/h
26 lut 26 15:33:37,1,6.8 m,64 km/h
26 lut 26 15:33:45,2,4.2 m,26 km/h
26 lut 26 15:33:56,2,4.0 m,49 km/h
26 lut 26 15:34:34,1,5.8 m,37 km/h
26 lut 26 15:35:37,2,3.7 m,46 km/h
26 lut 26 15:35:43,1,5.4 m,54 km/h
26 lut 26 15:35:47,1,4.5 m,55 km/h
26 lut 26 15:36:14,2,4.4 m,75 km/h
26 lut 26 15:38:37,2,17.5 m,52 km/h
26 lut 26 15:38:52,1,4.6 m,58 km/h
26 lut 26 15:39:36,2,3.5 m,19 km/h
26 lut 26 15:39:41,2,3.9 m,55 km/h
26 lut 26 15:39:44,2,4.5 m,53 km/h
26 lut 26 15:39:56,2,3.5 m,57 km/h
26 lut 26 15:40:22,1,7.2 m,51 km/h
26 lut 26 15:41:04,2,3.9 m,21 km/h
26 lut 26 15:41:32,1,3.5 m,52 km/h
26 lut 26 15:41:44,1,8.2 m,32 km/h
26 lut 26 15:41:48,2,4.5 m,55 km/h
26 lut 26 15:42:30,1,4.3 m,58 km/h
26 lut 26 15:43:08,1,4.1 m,48 km/h
26 lut 26 15:43:25,1,3.9 m,57 km/h
26 lut 26 15:43:39,1,5.1 m,54 km/h
26 lut 26 15:43:44,1,8.5 m,47 km/h
26 lut 26 15:44:02,2,3.6 m,52 km/h
26 lut 26 15:44:07,2,17.6 m,54 km/h
26 lut 26 15:44:40,1,3.9 m,60 km/h
26 lut 26 15:44:51,2,4.5 m,51 km/h
26 lut 26 15:44:51,1,2.8 m,47 km/h
26 lut 26 15:46:20,2,4.9 m,52 km/h
26 lut 26 15:46:23,2,4.0 m,53 km/h
26 lut 26 15:46:55,1,4.3 m,64 km/h
26 lut 26 15:47:38,2,3.5 m,76 km/h
26 lut 26 15:48:36,1,8.4 m,42 km/h
26 lut 26 15:48:41,1,4.0 m,42 km/h
26 lut 26 15:49:43,2,4.5 m,88 km/h
26 lut 26 15:50:50,1,5.6 m,62 km/h
26 lut 26 15:52:33,2,4.5 m,75 km/h
26 lut 26 15:53:06,2,5.5 m,52 km/h
26 lut 26 15:53:08,2,4.1 m,52 km/h
26 lut 26 15:54:05,2,3.9 m,56 km/h
26 lut 26 15:55:06,2,8.1 m,52 km/h
26 lut 26 15:55:46,1,4.7 m,66 km/h
26 lut 26 15:55:57,2,4.7 m,58 km/h
26 lut 26 15:56:14,1,3.6 m,117 km/h
26 lut 26 15:57:56,1,4.0 m,37 km/h
26 lut 26 15:58:10,1,3.7 m,48 km/h
26 lut 26 15:58:40,1,4.7 m,58 km/h
26 lut 26 15:59:02,2,4.7 m,55 km/h
26 lut 26 15:59:05,2,5.2 m,57 km/h
26 lut 26 15:59:57,2,10.6 m,40 km/h
26 lut 26 15:59:58,1,4.3 m,21 km/h
26 lut 26 16:00:24,2,4.5 m,51 km/h
26 lut 26 16:00:31,2,4.5 m,56 km/h
26 lut 26 16:00:36,2,4.0 m,47 km/h
26 lut 26 16:00:38,2,4.2 m,34 km/h
26 lut 26 16:00:49,2,4.8 m,25 km/h
26 lut 26 16:01:09,1,4.3 m,38 km/h
26 lut 26 16:01:32,1,4.5 m,24 km/h
26 lut 26 16:01:39,1,4.5 m,28 km/h
26 lut 26 16:02:18,2,3.7 m,42 km/h
26 lut 26 16:02:55,1,5.5 m,67 km/h
26 lut 26 16:03:02,2,4.3 m,73 km/h
26 lut 26 16:03:17,2,3.3 m,41 km/h
26 lut 26 16:04:00,2,3.9 m,54 km/h
26 lut 26 16:04:01,2,4.2 m,53 km/h
26 lut 26 16:04:03,2,4.5 m,53 km/h
26 lut 26 16:05:36,2,4.1 m,54 km/h
26 lut 26 16:06:15,2,5.7 m,27 km/h
26 lut 26 16:07:02,1,5.3 m,62 km/h
26 lut 26 16:07:34,1,4.1 m,30 km/h
26 lut 26 16:07:37,1,6.0 m,35 km/h
26 lut 26 16:07:45,1,1.2 m,52 km/h
26 lut 26 16:08:14,2,4.8 m,58 km/h
26 lut 26 16:08:19,2,3.8 m,46 km/h
26 lut 26 16:08:57,1,6.6 m,31 km/h
26 lut 26 16:09:32,2,5.1 m,60 km/h
26 lut 26 16:09:34,2,3.8 m,61 km/h
26 lut 26 16:10:23,1,4.5 m,36 km/h
26 lut 26 16:10:34,2,3.8 m,52 km/h
26 lut 26 16:10:48,1,4.3 m,59 km/h
26 lut 26 16:10:49,2,3.9 m,52 km/h
26 lut 26 16:10:52,1,7.5 m,77 km/h
26 lut 26 16:11:34,2,20.4 m,59 km/h
26 lut 26 16:11:35,1,4.2 m,56 km/h
26 lut 26 16:11:42,2,4.3 m,72 km/h
26 lut 26 16:11:45,2,3.5 m,82 km/h
26 lut 26 16:12:27,1,4.8 m,59 km/h
26 lut 26 16:13:11,1,4.0 m,60 km/h
26 lut 26 16:13:35,1,6.1 m,58 km/h
26 lut 26 16:14:02,2,4.9 m,49 km/h
26 lut 26 16:14:06,2,4.6 m,38 km/h
26 lut 26 16:14:12,1,3.5 m,62 km/h
26 lut 26 16:15:11,2,3.8 m,17 km/h
26 lut 26 16:16:16,2,18.9 m,51 km/h
26 lut 26 16:17:02,2,5.5 m,60 km/h
26 lut 26 16:18:01,1,4.5 m,48 km/h
26 lut 26 16:18:13,1,3.9 m,78 km/h
26 lut 26 16:18:28,1,6.6 m,52 km/h
26 lut 26 16:19:23,2,4.8 m,32 km/h
26 lut 26 16:19:27,1,3.7 m,56 km/h
26 lut 26 16:19:46,2,4.5 m,48 km/h
26 lut 26 16:20:01,1,4.3 m,57 km/h
26 lut 26 16:20:07,1,4.0 m,72 km/h
26 lut 26 16:20:32,2,5.1 m,20 km/h
26 lut 26 16:20:37,2,4.8 m,48 km/h
26 lut 26 16:20:53,1,6.2 m,58 km/h
26 lut 26 16:21:26,2,4.0 m,25 km/h
26 lut 26 16:21:30,2,4.8 m,36 km/h
26 lut 26 16:21:39,2,4.2 m,59 km/h
26 lut 26 16:21:43,1,3.8 m,48 km/h
26 lut 26 16:21:51,2,4.8 m,59 km/h
26 lut 26 16:22:23,2,5.4 m,55 km/h
26 lut 26 16:22:29,2,4.9 m,27 km/h
26 lut 26 16:22:31,1,4.2 m,49 km/h
26 lut 26 16:22:39,1,3.9 m,54 km/h
26 lut 26 16:22:40,1,4.1 m,57 km/h
26 lut 26 16:22:46,1,3.8 m,70 km/h
26 lut 26 16:23:06,1,4.9 m,63 km/h
26 lut 26 16:23:41,1,4.2 m,35 km/h
26 lut 26 16:23:51,1,4.6 m,56 km/h
26 lut 26 16:24:27,1,4.4 m,51 km/h
26 lut 26 16:24:35,2,3.8 m,87 km/h
26 lut 26 16:25:07,1,4.9 m,39 km/h
26 lut 26 16:25:23,2,3.7 m,61 km/h
26 lut 26 16:25:44,2,18.9 m,63 km/h
26 lut 26 16:25:45,2,3.4 m,69 km/h
26 lut 26 16:26:01,2,4.0 m,59 km/h
26 lut 26 16:26:05,1,4.6 m,41 km/h
26 lut 26 16:26:07,2,3.6 m,66 km/h
26 lut 26 16:28:03,2,3.9 m,51 km/h
26 lut 26 16:28:27,2,3.8 m,23 km/h
26 lut 26 16:28:58,2,5.3 m,56 km/h
26 lut 26 16:29:18,1,5.5 m,43 km/h
26 lut 26 16:29:36,1,4.3 m,52 km/h
26 lut 26 16:29:39,1,3.8 m,50 km/h
26 lut 26 16:30:39,2,4.5 m,60 km/h
26 lut 26 16:30:43,2,4.9 m,59 km/h
26 lut 26 16:31:11,1,19.4 m,51 km/h
26 lut 26 16:31:54,2,4.7 m,22 km/h
26 lut 26 16:31:57,2,5.2 m,43 km/h
26 lut 26 16:32:10,1,4.7 m,59 km/h
26 lut 26 16:32:21,2,4.7 m,55 km/h
26 lut 26 16:33:55,2,4.3 m,53 km/h
26 lut 26 16:34:35,1,4.5 m,48 km/h
26 lut 26 16:35:40,1,3.8 m,58 km/h
26 lut 26 16:35:40,2,4.5 m,50 km/h
26 lut 26 16:36:12,2,3.8 m,57 km/h
26 lut 26 16:37:23,1,4.4 m,25 km/h
26 lut 26 16:37:40,1,4.9 m,37 km/h
26 lut 26 16:37:43,1,4.5 m,33 km/h
26 lut 26 16:38:16,2,4.5 m,50 km/h
26 lut 26 16:38:19,2,10.0 m,45 km/h
26 lut 26 16:39:00,2,1.3 m,53 km/h
26 lut 26 16:39:38,1,4.3 m,59 km/h
26 lut 26 16:39:40,1,4.1 m,58 km/h
26 lut 26 16:39:46,1,4.0 m,58 km/h
26 lut 26 16:40:04,2,4.6 m,14 km/h
26 lut 26 16:40:37,2,5.0 m,74 km/h
26 lut 26 16:41:26,2,4.9 m,56 km/h
26 lut 26 16:41:37,1,4.1 m,60 km/h
26 lut 26 16:41:44,1,5.9 m,65 km/h
26 lut 26 16:42:00,2,4.2 m,48 km/h
26 lut 26 16:42:56,2,3.2 m,18 km/h
26 lut 26 16:43:33,1,4.2 m,56 km/h
26 lut 26 16:43:41,1,4.2 m,48 km/h
26 lut 26 16:43:58,1,4.0 m,60 km/h
26 lut 26 16:45:02,2,3.8 m,26 km/h
26 lut 26 16:45:07,2,17.2 m,47 km/h
26 lut 26 16:45:50,2,4.0 m,51 km/h
26 lut 26 16:46:22,1,12.0 m,63 km/h
26 lut 26 16:46:24,1,5.4 m,68 km/h
26 lut 26 16:46:35,2,4.8 m,35 km/h
26 lut 26 16:46:41,2,4.3 m,52 km/h
26 lut 26 16:47:06,1,4.4 m,56 km/h
26 lut 26 16:47:10,2,20.6 m,58 km/h
26 lut 26 16:47:15,2,19.4 m,55 km/h
26 lut 26 16:47:18,2,18.3 m,57 km/h
26 lut 26 16:47:21,1,4.4 m,56 km/h
26 lut 26 16:48:23,1,4.6 m,53 km/h
26 lut 26 16:48:34,1,4.6 m,30 km/h
26 lut 26 16:48:35,2,4.6 m,83 km/h
26 lut 26 16:49:29,1,5.0 m,63 km/h
26 lut 26 16:49:36,1,5.1 m,49 km/h
26 lut 26 16:49:47,2,4.5 m,127 km/h
26 lut 26 16:50:25,2,1.8 m,23 km/h
26 lut 26 16:50:26,2,3.9 m,22 km/h
26 lut 26 16:51:16,2,4.7 m,56 km/h
26 lut 26 16:51:18,2,3.3 m,53 km/h
26 lut 26 16:51:30,1,7.5 m,84 km/h
26 lut 26 16:51:44,1,4.8 m,56 km/h
26 lut 26 16:52:41,2,4.2 m,25 km/h
26 lut 26 16:53:19,2,4.7 m,38 km/h
26 lut 26 16:54:28,1,3.2 m,50 km/h
26 lut 26 16:54:33,1,3.9 m,51 km/h
26 lut 26 16:54:37,2,3.9 m,26 km/h
26 lut 26 16:54:41,2,5.2 m,39 km/h
26 lut 26 16:55:24,1,4.0 m,62 km/h
26 lut 26 16:55:28,1,3.8 m,63 km/h
26 lut 26 16:55:46,1,4.5 m,50 km/h
26 lut 26 16:56:03,1,4.4 m,57 km/h
26 lut 26 16:56:10,1,4.3 m,58 km/h
26 lut 26 16:56:18,1,4.1 m,47 km/h
26 lut 26 16:56:19,1,4.3 m,68 km/h
26 lut 26 16:56:49,2,7.0 m,58 km/h
26 lut 26 16:56:51,2,4.7 m,58 km/h
26 lut 26 16:56:57,2,5.7 m,53 km/h
26 lut 26 16:58:23,1,19.3 m,62 km/h
26 lut 26 16:58:36,2,4.6 m,19 km/h
26 lut 26 16:59:06,1,4.4 m,45 km/h
26 lut 26 17:00:10,2,4.4 m,29 km/h
26 lut 26 17:00:43,2,4.3 m,48 km/h
26 lut 26 17:02:05,2,3.8 m,42 km/h
26 lut 26 17:02:09,2,4.4 m,44 km/h
26 lut 26 17:02:30,1,4.8 m,47 km/h
26 lut 26 17:02:44,1,3.8 m,76 km/h
26 lut 26 17:03:11,2,5.3 m,46 km/h
26 lut 26 17:03:12,2,4.4 m,46 km/h
26 lut 26 17:03:16,2,3.9 m,52 km/h
26 lut 26 17:03:45,2,4.0 m,57 km/h
26 lut 26 17:03:48,2,4.7 m,57 km/h
26 lut 26 17:04:40,1,6.0 m,20 km/h
26 lut 26 17:06:07,2,5.0 m,61 km/h
26 lut 26 17:06:55,1,4.2 m,94 km/h
26 lut 26 17:07:42,1,8.2 m,49 km/h
26 lut 26 17:08:44,2,3.7 m,47 km/h
26 lut 26 17:08:51,2,4.3 m,54 km/h
26 lut 26 17:10:46,1,4.0 m,52 km/h
26 lut 26 17:10:51,1,4.2 m,58 km/h
26 lut 26 17:11:03,2,4.1 m,26 km/h
26 lut 26 17:11:06,2,5.1 m,35 km/h
26 lut 26 17:11:22,1,3.6 m,85 km/h
26 lut 26 17:12:09,2,14.1 m,32 km/h
26 lut 26 17:12:12,1,4.3 m,35 km/h
26 lut 26 17:12:43,1,4.1 m,62 km/h
26 lut 26 17:12:49,2,3.6 m,63 km/h
26 lut 26 17:12:54,2,4.0 m,49 km/h
26 lut 26 17:13:27,1,16.8 m,40 km/h
26 lut 26 17:13:27,2,4.6 m,48 km/h
26 lut 26 17:13:40,2,2.9 m,61 km/h
26 lut 26 17:15:27,1,3.5 m,114 km/h
26 lut 26 17:16:47,2,4.6 m,60 km/h
26 lut 26 17:16:49,2,5.2 m,66 km/h
26 lut 26 17:17:03,2,4.2 m,36 km/h
26 lut 26 17:17:15,2,4.6 m,60 km/h
26 lut 26 17:18:40,1,3.8 m,56 km/h
26 lut 26 17:18:50,2,4.4 m,54 km/h
26 lut 26 17:19:12,2,18.6 m,41 km/h
26 lut 26 17:19:16,2,4.7 m,37 km/h
26 lut 26 17:19:17,2,7.0 m,40 km/h
26 lut 26 17:19:22,2,3.0 m,48 km/h
26 lut 26 17:19:34,1,4.0 m,76 km/h
26 lut 26 17:20:06,1,4.4 m,34 km/h
26 lut 26 17:21:20,1,4.3 m,70 km/h
26 lut 26 17:21:23,1,18.7 m,67 km/h
26 lut 26 17:22:56,2,3.5 m,67 km/h
26 lut 26 17:23:14,1,4.2 m,54 km/h
26 lut 26 17:23:31,1,4.7 m,36 km/h
26 lut 26 17:23:53,1,3.8 m,46 km/h
26 lut 26 17:23:58,1,5.1 m,33 km/h
26 lut 26 17:25:42,1,7.8 m,53 km/h
26 lut 26 17:25:45,1,3.5 m,53 km/h
26 lut 26 17:27:08,2,3.5 m,53 km/h
26 lut 26 17:27:54,2,4.6 m,19 km/h
26 lut 26 17:28:04,1,3.3 m,55 km/h
26 lut 26 17:28:22,1,4.4 m,52 km/h
26 lut 26 17:29:08,2,4.6 m,53 km/h
26 lut 26 17:29:56,2,4.6 m,52 km/h
26 lut 26 17:30:00,2,4.1 m,49 km/h
26 lut 26 17:30:04,2,5.0 m,52 km/h
26 lut 26 17:30:06,2,4.4 m,50 km/h
