Generated by myTrafficdata,,,
SDR: 1145F,,7 maj 26 12:54:56,
5 maj 26 15:37:02,2,4.4 m,59 km/h
5 maj 26 15:38:03,2,6.7 m,69 km/h
5 maj 26 15:38:17,2,4.5 m,62 km/h
5 maj 26 15:38:33,1,3.9 m,75 km/h
5 maj 26 15:39:17,2,4.8 m,54 km/h
5 maj 26 15:41:41,2,4.8 m,59 km/h
5 maj 26 15:42:18,2,4.6 m,54 km/h
5 maj 26 15:42:20,1,3.1 m,67 km/h
5 maj 26 15:42:22,2,4.9 m,62 km/h
5 maj 26 15:43:02,2,5.1 m,63 km/h
5 maj 26 15:44:23,2,4.6 m,80 km/h
5 maj 26 15:44:36,1,4.6 m,39 km/h
5 maj 26 15:45:14,1,5.0 m,42 km/h
5 maj 26 15:47:12,1,4.4 m,60 km/h
5 maj 26 15:47:53,2,5.0 m,56 km/h
5 maj 26 15:49:04,1,3.6 m,42 km/h
5 maj 26 15:50:13,2,4.8 m,65 km/h
5 maj 26 15:50:32,2,4.2 m,53 km/h
5 maj 26 15:50:46,2,4.0 m,64 km/h
5 maj 26 15:52:42,2,4.6 m,50 km/h
5 maj 26 15:52:49,2,5.0 m,52 km/h
5 maj 26 15:53:06,2,4.0 m,57 km/h
5 maj 26 15:53:24,2,4.7 m,66 km/h
5 maj 26 15:53:28,2,5.0 m,75 km/h
5 maj 26 15:53:59,2,4.2 m,55 km/h
5 maj 26 15:54:28,2,13.4 m,32 km/h
5 maj 26 15:54:55,1,4.7 m,44 km/h
5 maj 26 15:56:02,2,4.4 m,49 km/h
5 maj 26 15:56:23,2,5.1 m,52 km/h
5 maj 26 15:56:41,1,4.1 m,48 km/h
5 maj 26 15:57:47,2,3.8 m,75 km/h
5 maj 26 15:58:03,2,4.9 m,65 km/h
5 maj 26 15:59:37,1,4.9 m,61 km/h
5 maj 26 15:59:59,1,6.5 m,76 km/h
5 maj 26 16:00:16,1,7.3 m,99 km/h
5 maj 26 16:02:07,2,4.3 m,75 km/h
5 maj 26 16:02:14,2,3.8 m,53 km/h
5 maj 26 16:02:20,2,18.7 m,54 km/h
5 maj 26 16:02:28,1,13.0 m,47 km/h
5 maj 26 16:02:46,1,4.2 m,58 km/h
5 maj 26 16:03:13,2,3.8 m,43 km/h
5 maj 26 16:03:15,2,4.3 m,47 km/h
5 maj 26 16:03:16,2,4.8 m,49 km/h
5 maj 26 16:03:21,2,3.8 m,83 km/h
5 maj 26 16:03:53,1,7.3 m,74 km/h
5 maj 26 16:04:14,2,4.3 m,83 km/h
5 maj 26 16:04:22,1,4.5 m,49 km/h
5 maj 26 16:04:53,2,4.9 m,67 km/h
5 maj 26 16:04:58,2,4.6 m,55 km/h
5 maj 26 16:05:19,2,4.8 m,61 km/h
5 maj 26 16:05:48,2,8.0 m,57 km/h
5 maj 26 16:06:37,2,4.3 m,24 km/h
5 maj 26 16:06:45,1,4.5 m,57 km/h
5 maj 26 16:07:02,2,5.0 m,49 km/h
5 maj 26 16:07:12,2,4.2 m,82 km/h
5 maj 26 16:07:16,2,5.0 m,74 km/h
5 maj 26 16:07:46,2,4.4 m,65 km/h
5 maj 26 16:08:00,2,4.3 m,38 km/h
5 maj 26 16:10:38,1,4.2 m,68 km/h
5 maj 26 16:11:16,2,7.0 m,74 km/h
5 maj 26 16:11:43,1,4.0 m,30 km/h
5 maj 26 16:12:16,1,5.1 m,54 km/h
5 maj 26 16:13:39,2,5.5 m,81 km/h
5 maj 26 16:14:22,1,3.9 m,64 km/h
5 maj 26 16:14:32,2,4.1 m,48 km/h
5 maj 26 16:15:48,2,4.8 m,59 km/h
5 maj 26 16:15:54,2,4.7 m,66 km/h
5 maj 26 16:18:06,1,3.6 m,32 km/h
5 maj 26 16:18:51,2,4.2 m,50 km/h
5 maj 26 16:20:56,2,3.9 m,58 km/h
5 maj 26 16:20:59,1,4.1 m,33 km/h
5 maj 26 16:21:11,2,4.5 m,63 km/h
5 maj 26 16:21:24,2,4.8 m,54 km/h
5 maj 26 16:21:26,2,5.4 m,57 km/h
5 maj 26 16:22:45,2,3.9 m,31 km/h
5 maj 26 16:23:21,1,4.1 m,45 km/h
5 maj 26 16:24:53,2,3.9 m,61 km/h
5 maj 26 16:25:21,2,5.0 m,56 km/h
5 maj 26 16:26:29,1,1.7 m,47 km/h
5 maj 26 16:26:31,1,4.2 m,51 km/h
5 maj 26 16:27:02,2,6.8 m,58 km/h
5 maj 26 16:27:13,2,4.3 m,62 km/h
5 maj 26 16:29:18,2,5.0 m,43 km/h
5 maj 26 16:29:52,2,4.7 m,53 km/h
5 maj 26 16:30:20,1,4.2 m,61 km/h
5 maj 26 16:30:21,1,5.1 m,58 km/h
5 maj 26 16:30:48,2,5.0 m,48 km/h
5 maj 26 16:32:17,2,4.0 m,48 km/h
5 maj 26 16:32:45,2,3.8 m,47 km/h
5 maj 26 16:33:25,1,6.3 m,67 km/h
5 maj 26 16:33:41,1,7.9 m,62 km/h
5 maj 26 16:34:49,2,4.0 m,44 km/h
5 maj 26 16:34:58,2,4.6 m,57 km/h
5 maj 26 16:35:37,1,6.1 m,62 km/h
5 maj 26 16:35:55,2,4.2 m,69 km/h
5 maj 26 16:36:22,2,5.1 m,48 km/h
5 maj 26 16:36:47,1,3.9 m,49 km/h
5 maj 26 16:37:32,2,5.1 m,65 km/h
5 maj 26 16:38:28,2,5.3 m,51 km/h
5 maj 26 16:39:02,2,4.5 m,40 km/h
5 maj 26 16:39:32,1,3.9 m,65 km/h
5 maj 26 16:40:58,1,20.6 m,44 km/h
5 maj 26 16:42:32,2,4.7 m,71 km/h
5 maj 26 16:43:23,2,6.6 m,59 km/h
5 maj 26 16:44:08,2,4.6 m,73 km/h
5 maj 26 16:44:28,2,5.7 m,44 km/h
5 maj 26 16:44:35,2,3.4 m,55 km/h
5 maj 26 16:44:37,1,4.0 m,53 km/h
5 maj 26 16:45:29,1,4.3 m,50 km/h
5 maj 26 16:45:30,2,4.4 m,45 km/h
5 maj 26 16:45:36,1,4.3 m,44 km/h
5 maj 26 16:45:44,2,6.2 m,66 km/h
5 maj 26 16:46:50,2,3.8 m,61 km/h
5 maj 26 16:47:28,1,4.4 m,58 km/h
5 maj 26 16:48:19,2,4.5 m,69 km/h
5 maj 26 16:48:28,2,4.3 m,67 km/h
5 maj 26 16:49:30,2,5.1 m,82 km/h
5 maj 26 16:50:34,1,4.6 m,74 km/h
5 maj 26 16:50:44,2,3.9 m,73 km/h
5 maj 26 16:51:19,2,4.0 m,14 km/h
5 maj 26 16:54:28,2,17.9 m,32 km/h
5 maj 26 16:55:25,2,4.0 m,18 km/h
5 maj 26 16:55:50,2,5.1 m,48 km/h
5 maj 26 16:56:06,2,11.1 m,22 km/h
5 maj 26 16:56:10,2,5.5 m,19 km/h
5 maj 26 16:56:32,1,7.1 m,57 km/h
5 maj 26 16:56:34,1,7.8 m,54 km/h
5 maj 26 16:56:46,1,4.4 m,53 km/h
5 maj 26 16:56:49,2,4.0 m,43 km/h
5 maj 26 16:57:36,1,5.9 m,71 km/h
5 maj 26 16:58:28,2,4.8 m,44 km/h
5 maj 26 16:59:04,2,4.2 m,56 km/h
5 maj 26 16:59:32,2,14.1 m,55 km/h
5 maj 26 17:04:09,1,4.2 m,61 km/h
5 maj 26 17:04:48,2,10.6 m,48 km/h
5 maj 26 17:05:21,1,5.0 m,55 km/h
5 maj 26 17:05:54,2,5.0 m,47 km/h
5 maj 26 17:06:37,1,4.9 m,48 km/h
5 maj 26 17:07:46,2,7.5 m,52 km/h
5 maj 26 17:08:06,2,7.3 m,68 km/h
5 maj 26 17:08:15,1,4.4 m,46 km/h
5 maj 26 17:09:07,2,5.3 m,62 km/h
5 maj 26 17:09:47,2,4.1 m,48 km/h
5 maj 26 17:10:22,1,3.7 m,44 km/h
5 maj 26 17:11:50,2,4.0 m,83 km/h
5 maj 26 17:11:54,2,5.5 m,78 km/h
5 maj 26 17:12:48,1,3.9 m,78 km/h
5 maj 26 17:16:45,1,4.7 m,66 km/h
5 maj 26 17:17:44,1,3.9 m,33 km/h
5 maj 26 17:18:35,2,3.7 m,57 km/h
5 maj 26 17:21:16,1,17.4 m,55 km/h
5 maj 26 17:22:37,1,4.6 m,70 km/h
5 maj 26 17:22:56,2,4.6 m,63 km/h
5 maj 26 17:23:10,1,4.0 m,57 km/h
5 maj 26 17:23:16,2,4.3 m,69 km/h
5 maj 26 17:25:17,2,4.3 m,77 km/h
5 maj 26 17:25:22,2,6.8 m,51 km/h
5 maj 26 17:25:59,1,4.3 m,58 km/h
5 maj 26 17:27:07,2,4.0 m,51 km/h
5 maj 26 17:27:18,2,4.7 m,46 km/h
5 maj 26 17:28:05,1,1.1 m,16 km/h
5 maj 26 17:30:32,2,5.3 m,70 km/h
5 maj 26 17:31:33,1,4.5 m,49 km/h
5 maj 26 17:32:02,2,4.1 m,63 km/h
5 maj 26 17:32:26,1,4.3 m,59 km/h
5 maj 26 17:33:21,2,4.5 m,61 km/h
5 maj 26 17:35:11,1,3.7 m,64 km/h
5 maj 26 17:36:14,1,3.8 m,21 km/h
5 maj 26 17:37:18,1,13.0 m,49 km/h
5 maj 26 17:39:04,2,3.7 m,82 km/h
5 maj 26 17:40:18,2,5.6 m,44 km/h
5 maj 26 17:40:40,2,4.9 m,46 km/h
5 maj 26 17:40:43,2,4.0 m,44 km/h
5 maj 26 17:40:48,2,6.0 m,42 km/h
5 maj 26 17:41:04,2,5.0 m,44 km/h
5 maj 26 17:41:21,2,6.1 m,38 km/h
5 maj 26 17:42:47,1,4.3 m,50 km/h
5 maj 26 17:44:07,2,4.4 m,91 km/h
5 maj 26 17:44:56,1,5.4 m,78 km/h
5 maj 26 17:45:24,1,2.9 m,32 km/h
5 maj 26 17:45:35,2,5.0 m,68 km/h
5 maj 26 17:46:41,2,4.7 m,56 km/h
5 maj 26 17:48:08,1,3.2 m,40 km/h
5 maj 26 17:48:42,2,4.0 m,35 km/h
5 maj 26 17:48:44,2,4.7 m,40 km/h
5 maj 26 17:49:41,2,4.0 m,58 km/h
5 maj 26 17:49:58,2,6.8 m,60 km/h
5 maj 26 17:51:27,1,4.3 m,29 km/h
5 maj 26 17:51:44,2,5.1 m,44 km/h
5 maj 26 17:51:48,1,3.3 m,18 km/h
5 maj 26 17:52:18,2,4.0 m,15 km/h
5 maj 26 17:52:19,1,3.7 m,70 km/h
5 maj 26 17:54:27,2,4.1 m,33 km/h
5 maj 26 17:57:33,2,4.1 m,19 km/h
5 maj 26 17:58:18,1,3.4 m,48 km/h
5 maj 26 17:59:16,2,4.3 m,59 km/h
5 maj 26 18:02:56,1,9.5 m,49 km/h
5 maj 26 18:03:28,2,4.0 m,29 km/h
5 maj 26 18:03:51,2,4.4 m,38 km/h
5 maj 26 18:07:26,1,3.9 m,54 km/h
5 maj 26 18:08:55,2,4.1 m,49 km/h
5 maj 26 18:08:59,2,3.5 m,19 km/h
5 maj 26 18:09:21,1,5.0 m,27 km/h
5 maj 26 18:11:18,2,4.5 m,45 km/h
5 maj 26 18:11:21,2,4.9 m,58 km/h
5 maj 26 18:12:06,2,4.1 m,13 km/h
5 maj 26 18:13:29,1,3.9 m,12 km/h
5 maj 26 18:13:45,1,21.0 m,46 km/h
5 maj 26 18:14:11,1,3.9 m,44 km/h
5 maj 26 18:18:18,1,3.5 m,73 km/h
5 maj 26 18:18:55,2,4.6 m,66 km/h
5 maj 26 18:19:22,1,15.3 m,51 km/h
5 maj 26 18:20:12,1,0.5 m,17 km/h
5 maj 26 18:22:35,1,5.8 m,63 km/h
5 maj 26 18:24:46,2,5.5 m,80 km/h
5 maj 26 18:24:50,2,4.8 m,62 km/h
5 maj 26 18:30:35,2,5.3 m,51 km/h
5 maj 26 18:31:24,2,4.5 m,76 km/h
5 maj 26 18:31:50,2,3.6 m,46 km/h
5 maj 26 18:32:17,1,4.0 m,54 km/h
5 maj 26 18:34:33,1,4.8 m,44 km/h
5 maj 26 18:35:19,2,4.5 m,54 km/h
5 maj 26 18:39:14,2,4.5 m,79 km/h
5 maj 26 18:41:14,2,4.3 m,57 km/h
5 maj 26 18:42:39,1,5.8 m,47 km/h
5 maj 26 18:43:33,2,5.0 m,73 km/h
5 maj 26 18:46:16,2,3.5 m,59 km/h
5 maj 26 18:47:00,2,4.2 m,42 km/h
5 maj 26 18:51:30,1,4.2 m,48 km/h
5 maj 26 18:54:00,2,0.8 m,31 km/h
5 maj 26 18:56:08,1,3.9 m,50 km/h
5 maj 26 18:56:08,1,2.1 m,50 km/h
5 maj 26 18:56:16,2,4.8 m,45 km/h
5 maj 26 18:56:19,2,5.3 m,45 km/h
5 maj 26 18:56:44,1,4.1 m,48 km/h
5 maj 26 19:01:16,1,3.5 m,53 km/h
5 maj 26 19:01:17,2,4.6 m,55 km/h
5 maj 26 19:03:42,2,4.9 m,55 km/h
5 maj 26 19:04:12,2,5.1 m,60 km/h
5 maj 26 19:04:38,1,4.6 m,51 km/h
5 maj 26 19:05:41,2,5.2 m,48 km/h
5 maj 26 19:07:38,1,4.5 m,53 km/h
5 maj 26 19:08:43,2,6.2 m,60 km/h
5 maj 26 19:09:02,2,4.8 m,60 km/h
5 maj 26 19:09:20,2,4.1 m,33 km/h
5 maj 26 19:09:24,2,4.6 m,34 km/h
5 maj 26 19:10:58,2,4.8 m,72 km/h
5 maj 26 19:11:53,2,4.9 m,62 km/h
5 maj 26 19:12:11,2,5.8 m,53 km/h
5 maj 26 19:12:33,1,4.1 m,54 km/h
5 maj 26 19:13:04,1,3.8 m,61 km/h
5 maj 26 19:13:51,2,4.2 m,57 km/h
5 maj 26 19:17:53,2,5.5 m,49 km/h
5 maj 26 19:24:29,2,3.8 m,52 km/h
5 maj 26 19:27:13,1,4.0 m,52 km/h
5 maj 26 19:27:17,2,4.7 m,49 km/h
5 maj 26 19:28:40,2,4.1 m,65 km/h
5 maj 26 19:35:07,1,1.7 m,55 km/h
5 maj 26 19:35:09,2,4.8 m,57 km/h
5 maj 26 19:41:43,2,5.5 m,44 km/h
5 maj 26 19:45:54,1,5.4 m,57 km/h
5 maj 26 19:47:37,2,4.1 m,49 km/h
5 maj 26 19:47:40,1,4.9 m,63 km/h
5 maj 26 19:47:46,2,4.4 m,89 km/h
5 maj 26 19:52:28,2,3.8 m,44 km/h
5 maj 26 19:52:52,1,4.2 m,64 km/h
5 maj 26 19:56:57,2,4.3 m,63 km/h
5 maj 26 20:02:12,1,4.3 m,51 km/h
5 maj 26 20:02:16,2,4.1 m,55 km/h
5 maj 26 20:04:46,2,4.2 m,57 km/h
5 maj 26 20:06:44,1,4.9 m,65 km/h
5 maj 26 20:07:23,1,4.8 m,22 km/h
5 maj 26 20:07:27,2,5.2 m,61 km/h
5 maj 26 20:12:20,1,4.7 m,16 km/h
5 maj 26 20:12:33,2,5.1 m,49 km/h
5 maj 26 20:12:37,2,3.3 m,44 km/h
5 maj 26 20:17:36,2,3.5 m,58 km/h
5 maj 26 20:17:59,2,5.1 m,41 km/h
5 maj 26 20:18:39,1,6.3 m,58 km/h
5 maj 26 20:24:13,1,4.3 m,45 km/h
5 maj 26 20:26:44,1,4.5 m,63 km/h
5 maj 26 20:28:32,2,5.6 m,26 km/h
5 maj 26 20:33:46,1,5.6 m,59 km/h
5 maj 26 20:34:39,2,5.0 m,55 km/h
5 maj 26 20:38:28,2,4.3 m,42 km/h
5 maj 26 20:44:37,2,3.9 m,41 km/h
5 maj 26 20:45:28,2,9.8 m,48 km/h
5 maj 26 20:45:53,2,4.5 m,29 km/h
5 maj 26 20:47:14,2,4.4 m,57 km/h
5 maj 26 20:48:44,1,5.1 m,59 km/h
5 maj 26 20:50:43,2,7.5 m,44 km/h
5 maj 26 20:52:19,2,7.0 m,52 km/h
5 maj 26 20:52:49,2,5.1 m,29 km/h
5 maj 26 21:04:03,1,4.4 m,76 km/h
5 maj 26 21:04:48,2,5.0 m,77 km/h
5 maj 26 21:04:59,1,7.7 m,47 km/h
5 maj 26 21:08:04,1,4.3 m,16 km/h
5 maj 26 21:11:03,1,4.8 m,38 km/h
5 maj 26 21:12:50,2,4.4 m,40 km/h
5 maj 26 21:14:36,1,4.7 m,80 km/h
5 maj 26 21:19:14,2,4.7 m,53 km/h
5 maj 26 21:20:16,1,5.5 m,43 km/h
5 maj 26 21:23:52,2,3.6 m,63 km/h
5 maj 26 21:35:30,1,4.6 m,37 km/h
5 maj 26 21:35:42,1,4.8 m,59 km/h
5 maj 26 21:37:54,2,4.4 m,58 km/h
5 maj 26 21:38:01,2,5.9 m,47 km/h
5 maj 26 21:38:31,1,4.7 m,47 km/h
5 maj 26 21:38:43,2,4.4 m,56 km/h
5 maj 26 21:39:12,2,3.7 m,48 km/h
5 maj 26 21:46:20,2,3.6 m,84 km/h
5 maj 26 21:48:16,2,5.6 m,59 km/h
5 maj 26 21:50:19,1,4.2 m,51 km/h
5 maj 26 21:57:49,2,4.2 m,68 km/h
5 maj 26 21:59:36,1,4.5 m,51 km/h
5 maj 26 22:01:54,1,4.3 m,48 km/h
5 maj 26 22:05:18,2,4.8 m,50 km/h
5 maj 26 22:09:23,2,7.2 m,64 km/h
5 maj 26 22:10:44,2,8.5 m,41 km/h
5 maj 26 22:13:52,2,3.6 m,57 km/h
5 maj 26 22:14:45,2,4.9 m,41 km/h
5 maj 26 22:15:29,2,4.2 m,69 km/h
5 maj 26 22:16:37,1,4.2 m,62 km/h
5 maj 26 22:16:45,2,4.5 m,54 km/h
5 maj 26 22:18:54,2,4.9 m,63 km/h
5 maj 26 22:19:22,2,4.4 m,70 km/h
5 maj 26 22:23:17,2,4.1 m,62 km/h
5 maj 26 22:26:35,1,4.4 m,43 km/h
5 maj 26 22:29:33,2,4.9 m,77 km/h
5 maj 26 22:33:43,2,4.7 m,48 km/h
5 maj 26 22:35:40,2,4.4 m,41 km/h
5 maj 26 22:37:37,2,5.1 m,45 km/h
5 maj 26 22:38:30,2,4.7 m,48 km/h
5 maj 26 22:47:33,2,4.5 m,72 km/h
5 maj 26 22:47:49,1,4.3 m,46 km/h
5 maj 26 22:48:12,2,15.0 m,54 km/h
5 maj 26 22:48:17,2,7.2 m,50 km/h
5 maj 26 22:59:24,1,5.9 m,40 km/h
5 maj 26 23:00:27,1,7.8 m,64 km/h
5 maj 26 23:06:44,1,4.7 m,52 km/h
5 maj 26 23:15:06,1,3.7 m,72 km/h
5 maj 26 23:16:56,1,4.2 m,56 km/h
5 maj 26 23:17:42,1,9.3 m,56 km/h
5 maj 26 23:17:42,1,1.6 m,48 km/h
5 maj 26 23:17:43,1,0.7 m,51 km/h
5 maj 26 23:19:38,1,4.2 m,28 km/h
5 maj 26 23:20:10,1,4.3 m,61 km/h
5 maj 26 23:27:25,2,4.5 m,47 km/h
5 maj 26 23:27:33,1,5.6 m,42 km/h
5 maj 26 23:33:06,1,4.3 m,45 km/h
5 maj 26 23:39:07,2,4.6 m,49 km/h
5 maj 26 23:40:38,1,2.3 m,44 km/h
5 maj 26 23:42:08,1,4.2 m,44 km/h
5 maj 26 23:46:29,2,4.2 m,51 km/h
5 maj 26 23:47:54,2,4.8 m,49 km/h
6 maj 26 0:01:15,2,4.2 m,68 km/h
6 maj 26 0:10:16,1,5.2 m,63 km/h
6 maj 26 0:31:02,1,3.7 m,46 km/h
6 maj 26 0:39:13,2,4.4 m,52 km/h
6 maj 26 0:43:32,2,3.3 m,45 km/h
6 maj 26 0:46:53,1,4.2 m,47 km/h
6 maj 26 0:47:39,2,9.6 m,54 km/h
6 maj 26 0:57:51,1,6.3 m,43 km/h
6 maj 26 0:57:52,2,3.3 m,30 km/h
6 maj 26 0:59:43,1,10.7 m,59 km/h
6 maj 26 1:10:09,1,2.8 m,67 km/h
6 maj 26 1:15:55,2,4.1 m,53 km/h
6 maj 26 1:25:54,1,3.8 m,87 km/h
6 maj 26 1:34:44,1,4.5 m,54 km/h
6 maj 26 2:11:28,2,3.9 m,59 km/h
6 maj 26 2:14:32,1,4.2 m,46 km/h
6 maj 26 2:43:27,1,3.5 m,56 km/h
6 maj 26 2:55:00,2,4.1 m,21 km/h
6 maj 26 2:55:02,2,4.1 m,24 km/h
6 maj 26 2:55:03,2,4.2 m,22 km/h
6 maj 26 2:55:05,2,4.2 m,26 km/h
6 maj 26 2:55:06,2,4.2 m,23 km/h
6 maj 26 2:55:08,2,9.0 m,25 km/h
6 maj 26 2:55:09,2,7.7 m,25 km/h
6 maj 26 2:55:11,2,5.9 m,23 km/h
6 maj 26 2:55:12,2,4.2 m,22 km/h
6 maj 26 2:55:14,2,4.2 m,20 km/h
6 maj 26 3:00:10,1,4.3 m,53 km/h
6 maj 26 3:13:06,2,4.2 m,25 km/h
6 maj 26 3:13:07,2,4.2 m,26 km/h
6 maj 26 3:13:08,2,4.2 m,23 km/h
6 maj 26 3:13:10,2,4.2 m,23 km/h
6 maj 26 3:13:11,2,4.2 m,20 km/h
6 maj 26 3:13:12,2,4.3 m,23 km/h
6 maj 26 3:13:13,2,6.1 m,25 km/h
6 maj 26 3:13:14,2,4.3 m,25 km/h
6 maj 26 3:13:17,2,4.3 m,22 km/h
6 maj 26 3:13:19,2,4.3 m,20 km/h
6 maj 26 3:13:19,2,4.3 m,20 km/h
6 maj 26 3:13:22,2,4.3 m,22 km/h
6 maj 26 3:13:22,2,4.3 m,22 km/h
6 maj 26 3:13:23,2,4.3 m,25 km/h
6 maj 26 3:13:26,2,4.3 m,21 km/h
6 maj 26 3:13:34,2,3.4 m,21 km/h
6 maj 26 3:16:04,1,9.2 m,45 km/h
6 maj 26 3:16:05,1,5.8 m,43 km/h
6 maj 26 3:22:39,1,3.9 m,37 km/h
6 maj 26 3:43:46,1,3.6 m,45 km/h
6 maj 26 3:47:14,2,4.2 m,43 km/h
6 maj 26 4:03:20,2,4.9 m,75 km/h
6 maj 26 4:10:27,1,4.0 m,48 km/h
6 maj 26 4:11:54,2,3.5 m,46 km/h
6 maj 26 4:12:51,1,4.6 m,39 km/h
6 maj 26 4:16:04,2,4.9 m,69 km/h
6 maj 26 4:18:15,1,5.0 m,65 km/h
6 maj 26 4:23:21,1,4.0 m,58 km/h
6 maj 26 4:30:32,1,5.8 m,69 km/h
6 maj 26 4:35:25,1,3.5 m,50 km/h
6 maj 26 4:40:17,1,4.3 m,53 km/h
6 maj 26 4:41:21,1,3.4 m,91 km/h
6 maj 26 4:48:51,1,2.9 m,47 km/h
6 maj 26 4:49:32,2,7.0 m,51 km/h
6 maj 26 4:51:04,2,5.4 m,56 km/h
6 maj 26 4:57:58,2,4.0 m,68 km/h
6 maj 26 5:01:00,1,6.8 m,61 km/h
6 maj 26 5:03:06,1,7.4 m,51 km/h
6 maj 26 5:03:14,1,3.5 m,50 km/h
6 maj 26 5:03:31,1,4.0 m,63 km/h
6 maj 26 5:06:55,1,3.8 m,54 km/h
6 maj 26 5:06:56,1,1.3 m,53 km/h
6 maj 26 5:08:33,1,4.7 m,50 km/h
6 maj 26 5:12:00,2,3.5 m,54 km/h
6 maj 26 5:14:08,1,3.9 m,61 km/h
6 maj 26 5:14:38,1,4.3 m,47 km/h
6 maj 26 5:15:33,1,4.3 m,76 km/h
6 maj 26 5:15:38,1,2.6 m,63 km/h
6 maj 26 5:16:33,1,5.0 m,53 km/h
6 maj 26 5:17:48,1,4.6 m,52 km/h
6 maj 26 5:23:47,1,3.7 m,57 km/h
6 maj 26 5:26:13,1,4.1 m,73 km/h
6 maj 26 5:26:42,1,4.2 m,72 km/h
6 maj 26 5:27:03,1,3.4 m,54 km/h
6 maj 26 5:34:36,1,3.6 m,47 km/h
6 maj 26 5:34:41,1,3.6 m,49 km/h
6 maj 26 5:34:43,1,6.4 m,45 km/h
6 maj 26 5:34:48,1,6.5 m,44 km/h
6 maj 26 5:34:51,1,4.7 m,45 km/h
6 maj 26 5:34:56,1,3.5 m,50 km/h
6 maj 26 5:34:57,1,4.2 m,53 km/h
6 maj 26 5:34:59,1,4.2 m,46 km/h
6 maj 26 5:35:01,1,4.5 m,47 km/h
6 maj 26 5:40:00,1,4.4 m,59 km/h
6 maj 26 5:42:52,1,3.8 m,62 km/h
6 maj 26 5:44:08,1,4.0 m,51 km/h
6 maj 26 5:45:51,1,3.8 m,68 km/h
6 maj 26 5:46:44,1,4.7 m,53 km/h
6 maj 26 5:48:06,1,6.0 m,75 km/h
6 maj 26 5:48:33,1,3.6 m,65 km/h
6 maj 26 5:50:19,2,4.4 m,42 km/h
6 maj 26 5:50:45,2,3.5 m,74 km/h
6 maj 26 5:53:31,1,3.3 m,66 km/h
6 maj 26 5:55:42,1,5.2 m,18 km/h
6 maj 26 5:55:53,1,4.1 m,46 km/h
6 maj 26 5:55:53,1,4.4 m,77 km/h
6 maj 26 5:58:17,2,4.1 m,104 km/h
6 maj 26 5:58:53,1,4.3 m,72 km/h
6 maj 26 6:01:41,1,4.1 m,50 km/h
6 maj 26 6:02:24,1,3.7 m,48 km/h
6 maj 26 6:02:40,1,4.4 m,55 km/h
6 maj 26 6:02:43,2,4.8 m,52 km/h
6 maj 26 6:03:12,1,3.7 m,41 km/h
6 maj 26 6:04:31,1,4.1 m,52 km/h
6 maj 26 6:08:40,1,3.6 m,47 km/h
6 maj 26 6:08:43,1,3.9 m,47 km/h
6 maj 26 6:09:00,1,4.1 m,51 km/h
6 maj 26 6:09:17,1,5.0 m,53 km/h
6 maj 26 6:10:12,1,7.5 m,46 km/h
6 maj 26 6:14:24,1,3.7 m,44 km/h
6 maj 26 6:14:48,2,4.0 m,65 km/h
6 maj 26 6:18:48,1,3.5 m,50 km/h
6 maj 26 6:19:07,1,3.4 m,57 km/h
6 maj 26 6:19:11,1,4.5 m,57 km/h
6 maj 26 6:19:59,1,5.1 m,58 km/h
6 maj 26 6:20:21,1,4.0 m,54 km/h
6 maj 26 6:21:18,1,4.3 m,67 km/h
6 maj 26 6:22:20,2,6.8 m,66 km/h
6 maj 26 6:23:16,1,5.6 m,49 km/h
6 maj 26 6:23:27,1,4.1 m,42 km/h
6 maj 26 6:24:02,1,7.2 m,68 km/h
6 maj 26 6:24:31,1,4.1 m,27 km/h
6 maj 26 6:25:58,1,4.6 m,42 km/h
6 maj 26 6:27:01,1,3.8 m,53 km/h
6 maj 26 6:27:19,2,3.5 m,59 km/h
6 maj 26 6:28:05,1,4.0 m,52 km/h
6 maj 26 6:28:09,1,4.5 m,49 km/h
6 maj 26 6:28:13,1,4.2 m,57 km/h
6 maj 26 6:29:41,1,4.0 m,55 km/h
6 maj 26 6:29:51,1,3.6 m,48 km/h
6 maj 26 6:32:25,1,3.8 m,52 km/h
6 maj 26 6:33:36,1,4.3 m,54 km/h
6 maj 26 6:34:54,1,6.9 m,41 km/h
6 maj 26 6:36:18,1,4.3 m,64 km/h
6 maj 26 6:36:56,2,9.5 m,21 km/h
6 maj 26 6:39:46,1,4.7 m,46 km/h
6 maj 26 6:40:05,1,5.3 m,61 km/h
6 maj 26 6:40:18,1,3.7 m,66 km/h
6 maj 26 6:42:24,1,3.3 m,54 km/h
6 maj 26 6:43:36,2,4.3 m,57 km/h
6 maj 26 6:43:55,1,6.3 m,46 km/h
6 maj 26 6:45:05,1,3.6 m,55 km/h
6 maj 26 6:45:12,1,3.3 m,67 km/h
6 maj 26 6:45:42,1,6.3 m,63 km/h
6 maj 26 6:45:44,1,3.6 m,60 km/h
6 maj 26 6:45:47,2,3.3 m,65 km/h
6 maj 26 6:46:07,2,6.1 m,69 km/h
6 maj 26 6:46:22,1,3.5 m,67 km/h
6 maj 26 6:49:03,2,4.3 m,65 km/h
6 maj 26 6:49:07,1,5.6 m,51 km/h
6 maj 26 6:49:21,1,5.7 m,56 km/h
6 maj 26 6:50:33,2,3.5 m,73 km/h
6 maj 26 6:51:45,1,3.8 m,67 km/h
6 maj 26 6:54:16,1,8.5 m,51 km/h
